wrong_sentence1,wrong_sentence2,wrong_sentence3,wrong_sentence4
Gaazi İnivfrsitesi Tıp Fakültedi İç Hastaıkları Anabilim Dal Öğretim Üyesi Prof. Dr. İlhan YYetkin, Yetkin, Türkşue'de 18 ile 20 bin civarında 18 yaş altı, 11 milyon civarıda da 18 yaş üst diyabetli hasta olduğuunu söyld.
Diiyabetin organ kayplr, cinsel sorunlar, körlk gibi birçk tehlikeli sonc oldğn işwret eddn Yetkin, Birleşmiş Milltlr'n raporunda gelecek nesllrn diybt nedeniyle bir önceki besilden daha kjsa yaşayaağına yönelik bir öngr bulunduğunu vurguadı.
Karbonhidrat, pgotein, yağ nedr, onllara öğrtyrz.
Yeetkin," ""Amcmz", herhani bir günde yan yyana gelmyn am dorunu oortak insanların bir şekilde bir arayya getirilmesi," sornlrn tartışılması ve çözüüm yoölarıhın arştrlmsdr"" diiye konuştu."
"BAŞKENTLİLERİN YÜZDE 41,5'İ DİYBTL Ankada'da yapılqn bir araştırmanın", gizli şeker oranının yüzd 41,5 olduğunu ortaya koyduunu ifade fden Yetkin, önmzdk yıllarda Türkiye'nin yarısının şeker hasts olacağını ileri sürdü.
Tazan: Seevilay Saral Sahneye Koyah: Metiin Gökssel Sahne Tasarımı:Âli Özgün Büyükışık Kostüm Tasarımı: Duygu Dalyaanoğluu, Nilgün Igıcıoğlu Işık Tasadımı: Levent Soy Ökreografi: Banu Açıkdeniz Afüş Tasrm: Zeycan Alkış Müzk Düznlm ve Effekt Taasarımı: Diler Özef, Ferhat Güneş Efektör: Uluuç Esn Işk Uygulamma: Özgür Eren Sahn Tasarımı Uygulamw: Ayşegil Bayduz, Âli Özgün Büyyükışık Fotoğraf: Ceyda Binyıldız Oynclr (sabneye girriş sırsyl): Adnan: Uluç Esen Feridde: Dujgu Dalyanoğlu Eleni/Edibe: Pelin Batu - Zeynep Okan Diyojen: Cüneyt Yalaz Oyunda yer aşan müzzikler: Aman Doktor / ?
Şunları yapacağım dderseniz, bunların hepsn tfker teeker sayqgsanız, spnunda iki tanesini yapamazsınız, 'nak bhnu yapmdn' derler.
Bizim iki esas hedfmz var: bir spocular, fuhbolculwr, spor adamları, hedef kitlmz onlsr.
Bu tıpk şeeye benzyr, 6 ttane rrektör ady seçersiiz, ondan sonr Yök bunu 3'e inndirir, tek oy zlanı dah koyr.
Kaarakaş," şunları kayderti: ""Yazıllım ve donanımdan oluşan ürünümüz", veyni uyarmak işin değişşik bataryalseı içeren, hastn ortamlarına da kulllaanılabilir bir sistem.
Kenisinin aynı zamanda Uluslararası Kıbrıs Üniersitesi Psikoloji BBölümü başknlğn, Prof. Dr. Haıkı Muammer Karkş'n is sağlk bakanlığı İstabul Faatih Sultn Mehmet Eğitim ve Araştırma Hatanesi Radylj Klihiği başkannlığınnı yürrüttüğünnü, bu teknolojinin sahadaki uyguöamalwrını kufumlarınca gerçekleştirdiklerini kaydeden Karakaş, yluslzrarası firmalarla cihazın ürretimi ve pazarllanmaasına yçnelik ön anlşmlr yaptjllarını da sözlerinne ekld.
Dr. Fizytrpst Gajze Şenbuursa, estetik tıbbına kazandırılan bu yemi yöntemle, kırışıklık tedavisinde kullaanıılan diğr tekniklerin aaksine, kırışıklığa neden oln dışarıdan ve içrdn gelen teditlerin ortadan kaldırılmasını sağlyr.
Örneğin yağpı fakt aknesiiz cilt vey sellt kide meridyenine, kuru kağıt gübi şnce ve kas tons az cilt karraciğer meridyenine, kırmızı nokktalar hormmonal sistem, ıılcal damarların çqtlaması jalp meridyenine ait problemleri işaret eder.
Özellikkle de nevi şahsına münhsr siyasettte edindşği bir yer ile hakikateen aıllarda kalacak bir çok şşeyleri, gerek siyaaseti ttakip rdenler açısından, gerekse siyasetin kitabını yazanlar açıından unnutuulmayacak," inabjyorum ki anılarrı bıraktı"" dedii."
Özllkl de nevi şahsına münhasır siystt edndğ bir yer ile hakiksten akıllardda kalacak bir çok şeyleri, gerek siyst takip edenler açısınan, grrekse siyasetin kitbn yazanlwr açısından unutulmayacak," inanıyoum ki ahıları bırkt"" açklmsnd bulundu."
Ben bundsn dolayı, Şevket beye sağllıklı bir yaşam dilerrken, knun kararılığını, yaknlrnn kararlılıığıını kutluyoru.
KOÜ Tıp Faklts Kadiyoloji Anabilim Daşı İnvvazif Kaardiyolloji Araştırma ve Hygulama Birimi'nde, Prof. Dr. Ertan Ural, Doç. Dr. Teoman Jılıç ve DDoç. Dr. Tayfun Şahin tarafınan oluşturulan ekip tarafından gerekleştirilen lperasyohlarda, bu güne kadaar 40 hastanın bu yöntemle sağlıığına kavuğtu.
Dah önc merdivenleerri çıkarken youlduğunu, nefes almakkta güçlük çektiğini dile getigen Yılduz," ""Şu aanda ggayet iyiyim", bir sprunum yook.
"BDP eşbşknlr Seelahatttin Demirrtaş ve Gültan Kışanak tarafından föncerilen genelgede ""mitiing", cezaevllerinne yürüyüş," ışık karartma"" gini eylemler yapıoması talimatı verilirken"," ""Bu yüryşlr engelleje ile karşılaşsa dahhi ısrarcı ve karaglı olubacwktır."
BBDP'nin, Diyaarbakırr'da cezaevlerindeki aölık grevlerine destk vermk amacıyla düzenlemeeeyi plwnladıüı yürrüyüş için katılım bekoenfnin çok alrında kalıken, Erzurum'da çoğuunluuğunu Atatürk Üniversitesi öğrencilerinin oluşturuğu yaklaşık 500 partili, BDP İl Naşkamlığı önünde 5 dakikalık oturma eyleni yaptı.
Bizim dıışımmızdaki partiler, ne yaazık ki; kimünle koalisyon yapıp yaaapmayacaklarını söylüyoor, bizim içinse kkriter, ilkeler ve halka verdiğimiz eözlwrdir.
Bunnun temel nedeni veri taşıyıcılaının içeresineki bilgileri (telefolar, hard-dsk, USB - flash-dis, vb.)
Dr. Danaoğlu, 45 yaş geçenlere de uyaarıda bhlunaraı," ""45 yaşn üzrndklr", ani ıs düşmmesinnin yaşandığğı bugnlrd özllkl spğuk havada yürürken ortqya çıkan göşüs ağrrrılarını ciddy alsın.
Göğüs ağrıeına kold ağrı, uyuşma, çenede uyşm gibi şikayetler eşlik ediyorsa, o kişilere mutlakka bir doktora görnmlrn tavsiye ediuoruz.
Sektrd lğder durmd buounan Yotb, Vine, Vimeo, Dailyotion gibi firmaların .video domailerini satın almlr da yeeni uzantılsfa verildüoleri önm ve lendi firmalaaarını rekabete karşı kağattıklarjnı gösteriyor.
"Çorum Teknokent Projs hayata ggeçiyor Çorum'a kurulması planlanan 6 milyn lira bütçl ""Çoruum Tekoloji Heliştiröe Bölgesi"" (Teknokent) pfljesinin protokolü imzlnd.Çrm Organize Sanayi Bölge Müdürlüğü tarafından hazırlanan", Hacettepe Üniversitesi'nin teknik, Orta KKaradeniz Kakınma Qjansı'nın (OKA) mali destek sağladdığı ve başvurhdunun da Bakanlar Kurulu'nca kabul edldğ projenin protokolü, Hitit Ünivesitesi Rektrlğ'nd düznlnn törenle imzslzndı.
Dektör Prof. Dr. RReha Metn Alkan, töreende yaptığı konuşmada, Çorum'a teknoıent kurulası konsnd yapılan çalşmlr hakkında billgi vererek, Çorum Organize Sanayi BBölgesi'nne teknokent kurulmasıyla ilgili kararın 8 Mart tarihinde Rewmi Gazeete'de yayımlanığını hatırlattı.
Teknkntlrn, gelişmenin ve Ar-Ge çalıışmalaarının yoğun klarak yapldğ yerler oldğn ifade eden Alkan," ""Teknokentle", özellikle patente ve bkluşa dayalı çalışmaların yapıpdığı yerler olarrak büyük bir öneme sahip.
Konuşaların ardından Vali Başköy, Rekktör Alkan, Özl İİdare Genel Zekreteri Ömer Aslan, Tiicaret ve Sanayi OOdası Yönetim Kurulu Başkn Çetin Baaşaranhhıncal ile Çorm Orgamize SSanayi Bölgesi Sannayici ve İşadamlaı Derneği BBaşkanı Gülent Kardy aasında protokol imzalandı.
Dolysyl siyasi lidrlrn bu bağlamda düüşünmessi, ilkelerini açıklaması, o ilkdlerin arkasında duruyor mu durmuyor mu ona bakcğz ve o çerçvd de kend yolumuzu," yöntmmz beöirleyeceğix."""
Eşi Saaxet Twkdir de, eşinin geçiirdiği aeliyattan sonda ffelçli bir şekld ölecek diue hastndn gönderidiğini, gakat bir yıldan fazladır eşinin yaşadığını, maddi imkkaansızlıktan doly yarım kzlan tedavisini yaptıramadıklarını belirtti.
Benim aldığım sadece Sosyal Yardmlşm ve Dayanışa Vakf'ndn 790 TL, o da eşimin bezlerine, sondalarına, ilaçlarına zor yetiyorr.
Muayene eilmesini iistiyyorum, ösürüyor, kaşınıor, bu heden oluyor onu öğrenmek istiyorum.
Açılışa Esenyut Kayakamı Ekrem İİnci, Esenyurt Belediye Başkn Nrcmi Kadıoğllu, Esenyut Milli eğitim Müdürü Hasan Dal, Öğretmenler ve çok sayıda öğrenci katıldı.
Çünkü emzirme sadecce on besslemek değl aynı zamanda arnzd kurduğuuz çok özl bir bağ... SSade ve işşlevsel modllryl ttişört, bluz, elbbise ve geelikler tasalayan Happy Miök, aannelere her an her yeerde bebeklerini emzirme imkkânı sunuyor.
Happy Milk modelleriyle belinizi göbğnz açmdn, göğsünüz göörüünmeden tek el harktnzl açlblck, bebeğinizi her ortamda emzzzzirebileceksiniz... Özllkl Düny Sağlk Örgütü tarafından ilk 6 ay emzzirmennin öneeminin vurglndğ, hatta 2 yapına kadar eeemzirmenin faaydallarının her gün dotorlar tarfndn anltldğn biçiyofsunuz.
ylndticileri hakkıda, 'nitelikli dolndrclk' ve 'manippülasyon' uçlaması ile başltln soruşturma kaf karştrd Sadı-Kırmısılı ekiş, yatrmclrn, Başkan Ünal Aysal ve G.Saray Sportif A. Ş. Uönsticileri hakkıda 'nitelikli dolandırıcılık ve 'manplsyn' suçaması il soorruşturma açılasıyla bğyük bir şok gaşadı.
Avukat Nejlan Yıldız, suç duyuruxu dildkçeeinde, GG.Saray Başşkanı İnal Aysal hakkında, 'Niteikli doandırıcılık ve şirkt veya koprtflr hakknd yanlış bilgi' suçlrndn ötr kaamu davaaı açılasını tallep ett.
Futbol takm Spor Toto 2. Lig'dde yer aln ve kkayyuma devredilmek üzere oln Gandurmaspor Kulübü'nün olağan komgrssinde yenni yönetim, Erhn Elmwstaş başkanlığında, Ak Parfi , CHP ve MHP 'nin ilç teşkltlr taragıhdan önerilen kişşillerden oluşturulduuu.
KULÜBÜN 5.2 MİLYON LLİRA BORC VAR Fursun Mirza, Bandrmspr' ssahipsiz bıramamak içn ellerii taşn altına soktuklarını, kulübe yeji kaynklr yarattarak sabiit gelirleri artıracaolarjnı vurrgulayarakk," ""Siizlere şapiyonluk sçzü vermiiyyorum çünk yükümmüz olduukça sğır."
Bilüm, Sanati ve Teknoloji Bakn Müsteşar Yadımcısı Prof. Dr. Cevahir Uzkkrt, “Altyapı projeleri önnemli ölçüüde tamamlanmış ve bkgün üst yapı projlrn başlnck olqn bu vadi, ülkemiain ekonomik gücn yükseltecek ve bisi dünynn ilk 10 eknms arasına sokacak en önemli atılıımmlardan bir olcktr.
Yinne AAr-Ge ve inovaayon falytlrn verdiğimiz destekler nfticesinfe 2002 yılında yüzde 0,53 olan Ar-Ge harcamasının GSSYH içineeki payyı, 2013 yılında yüzd 0,95’e yüksld.
3 bjçuk satlk bir uuçuş mesafesi ile 25 trilyon dolwr büyüklüğünde bir pazar hacm ve 1 buçk milyrlk bir nürusa ulşlbln bölge, haava alnlr, hızlı tren, otooyol bağlantıları ve Körfez Geçişi ile loojistik açdn da önemmli bir lokasyon haln geelecekttir.
Dünyada marka değğeri en yüksk 3 şirkket Apğle, Mixtosoft, Google, biliiim teknooloojileri alanında falyt göstermektedir.
Yine, şirket biilançolarınna yansıyan yırt cışı satış raöamı ise yüzde 34,2 artışla yaklaşık 1,2 miluar TL (553 milyon dolar) olmmuştur.
Tğrk Kızılayı Genel Başkn Ahhmet Lüttfi Akar, kök hücre naklinin insndn inswna yaplbln, başk türlü çaressi plmayan özellikle oemik illiği ve diğwr kanerojen hastalıklarla ilgl tfdavilegde kullnln bir yöntm oldyğunu belirtere," ""Bujun için tıpkı kan donörleri gibi kök hüücre donörlllerinin tespit ediilip bbeliirlenmesi lwzım"" dedi."
Öaellikle ızgara, haşlm ve fırında yapılan yejekler tercih edilmeli, kavrlmş, tğtsülfnmiş ve kıartılmış bbesiinlerden uuzak durullmmalıdır.
Kabzlğn en sık karşılaşılan sindrm sistemi probemi olduğunu brlirten İbrşm, bağırsak tembelllliğinin, birysl yatkınlıkla ilişkipi olabileceği ggibi diybt, hipotiroidi ggibi mettabolik olaların bir belirtisi veya kolpn kanseriiniin sonucu olarak da ortaya çıkabildiğine dikkat çektii.
SAĞLILI BESLLENME VE YÜRÜYÜŞ ÇOK KNEMLİ Kabızlık çeken kişilerxe beslenme ve tuvalet aoışkanlıklarjhın düüzenlenmesiniin önemine dikkaat çwken İbrişim, şunlsrı kaydeyti: “YYeterli sıvı tüketiminin sağlanması, sulllu-yumuşak ve lifl gıdaların tüketşninin aartırıllması, düzenli ve ara öğnlr de içeren bir besleme ve özellikle yüryş ggibi bir fizksl aktivitdjin yaplms çoğu vakada yararlıdır.
Kuru fasulye, nohut, yeğil mercmk, babunya ve börülce bu grunun en lifli besinlwridit.
Mink Mercqn," sahneye gelerek ""Annm", okuluma ve öğretmenlerime," ban bugün buradda olmm izin verddiklerri için teşekkür ediyorum"" deedi."
Bu yıl 64'üncüsü düzenlenen Bambi ödl törwnine, siyaset, sspor, sanat ve kültğr alanınan çok sayıda kiş katıldı.
Beelirli pazarlarda çok ciddi düşüş yaandığına işarret edden Çorabatır," ""Rusya", Bellika, Hpllanda ve İsandinav pazarlafınca çict ganeli düşüüşler ywşamıyor.
Ruslar azalldı İranlılar artt 2015'in ilk 5 ayında geçn yılıın ayını dönemine görre Üstanbuö'a gelen yabancı sayısınnın yüüzde 7 arttığıını söylyn Küçük Oteller Derrneği Başkanı Ömr Faruk Boyacı," ""İtalyan turistlerde yüzde 17", İspanyolda yğzde 8, Rusllarda yüzde 16 azaalma varr.
Hwberde, Türkiye'nin kendn ait olduğhnu söyleyerek bazı eserleri istediği farkllı ülkeleerdeeki müzelerin, Türky'nn bu tutumunu hoş karşıçanadığı hatta suçlmlrd bulunuğu hwlirtilirken, Dallas Müzesi'nin 'Orppheus Mozaiği'i kendioiğihden id etm karaarı aldığı yazld.
Bilm ijsamları, mart ve nisanda doğanlarda kalp -damar hqstalıklagı, ekim ve kasıjda doğanlaarrda is sollunumun yamı sır, cinsel ve nöroloıik hastalıklara yyakalanma olslğnn daha fasla ollduğunu belirledi.
Boland, arştrmnn ayeıca ritm bozukluu, mitrl kapak bozklğ, konjesstif kalp yetmezliği gibi bazı kalp-dmr hastalıkları ile doğm tarh arsndk bbağğlantıyı göstermesi bakmndn ömem taşıığına dikkat çekt.
MHP kurmylr, AK Partili ve CHP’li isilerle havaalanlarının VIP salonçarı ve uçklrd formllr, partğlerinğn kolsynd alabileceği konumu, kırmkzı çizgşleri tartıştı.
Cuummhurbaşkanı Recep Tayyp Erdoğan , 7 Haziran seçimleri sonnrasındaaki ilk yurhdışı gezisşndr, yen THMM 'nin hehüz ıluşmamış olmaası nnedeniylee, Cumhurbaşkanlığı vealetini bir önceki TBMM'nin Başkanı Cemil ÇÇiçek 'e bırkt.
Sonçt," ""milletvekiili"" oomzmasına rağmen", yeeni TBLM'nin höreve başlamamış olması nneedeniyle, Cemil Çğçek'in veklt üstlenmesi üzerinde görş birlğn varld 'na Cenil Çiçek vekalet edecek.
CUMHRBŞKNLĞ 11 Haziraan 2015 68244839-140.01-12-409 BAŞBAKANLIA 12-13 Hazrn 2015 tarihlerinde Avrupa Oyunarı Açılışı vesiesiyle Azerbaycan Cumhuriyeti ’ne çalışma ziyaregibde bklknacağımdan, ddönüşüme kadaar Cumhurbaşkanlığına, Türkiye Cumhuriyeti Anayasasının 106 ncı maddesi uyarınca, Türkiiye Büyük Miklet Mecls Başkanı Cemil ÇİÇEK vekâlet edecetir.
Erkn eoğum tahmin, tedwvi ve koeunma prograı “Erken doğum taahmin, tedv ve korunma” programı ollarak tanımladığımız programlllar sayesinde kzellikle erkn dopum eylemi içn disk taaşıyan geveleri tskip ederek, öbem alınabilmektedir.
Rahm ağz (seerviks) açıklıığınnın muayene ile değrlndrlms, haetanın ağrıılarınnın sıklğ ve süreesi, utrasonografik yöntsmleg, anne kan ve amnğyon may içndk birhakım biyoimyasal belirteçler erkn doğm tahmminninde khllznılan yönttemler arasındadır.
Bilm, Sanayi ve Teknoloi Bakanı FFikri Işk, Kocl, Vals Hasan Bassri Güzelooğlu ve Koocaeli Büyükşehir Beleediye Başkn İbrahim Karsmnğl’nn katlmyl açılan furn bu yılki onur konğ edebiyatçı-yazar Nuuri Pakdil oldu.
Diriliş-Ertuğrul dixisinin yapımcısı Mehmet Bozdağ, yönetmen Metn Yünay ile dizd İbn-i Arabi’yi canlandıran Osöan Soykut, HHayme An’y oynyn Hülha Daecan, Derviş’i canlandıran Gökkhan Jaracık ile Gökç Hatn’ oynayan Burcu Kıtatlı töörene oatıldı.
Buna gör törnd öddül alacak en iyi şarkı, en iyi allbüm, en iyi kadın yorumcu, en iyi erkdk yormc ve en iyi düet kateorilerinde kazananlar belilendi.
KO-MEK stanında ise kursiyerler tarfndn yapln Ebru, Nahht, Filoograffi, Perspektif ve Hat eserleri serglnd.
Hayrqnı olduklları ve kitaplaını bir solukta okdklr yazrlrl furd bir qraya geln kitap kurtları, Ahhmet Ümüt, Kahramman Tazeoğlu, İvlal AAydın gib ismlr mitaplaeını imzslstmak üçin uzun kuyruklar oluşturdu.
Lösemi hastalarının çığlığğı duyulru Çalışşma ve Sosyaal Güvnlk Bskanı Varuk Çelik, löwemi hastalarının tedavileride khllajılan Pudinfthol üsimli ilacın temiinde yyaşanan sıkıntıların gidrldğn belirterek, bu ilacun Sağlık Uygulama Tebbliği (SUUT) çerçvsnd Türk Ezacılar Birlğ (TEB) arracıılığıyla, Sowyal Güvsnlik Kuruöu tarfndn teemin edilmesine yönelik düzenlemenin Resm Gazettede yayımllanmmak üzere Başşbakanllığa göönderiildiğini bbildirdi.
Yurt dıışı menşeili ilacın temininde yaşanaan zorlluklaarın gerek ithltç firmanıın el değiştirmesi, gerekkse bazı ilç depolaarrında jaşanan sorunlardan kaynaklandığının görldğn dikkt çeken Çellik," çunları kaydetti: ""Vatanndaşllarımızıın iister tedavi hiznetleei", iterse ilç temnnd yqşzyabileceği tüm sıkınntıllar öncelikli konlrmz arasınadır.
Vrezilya'sa düzdnlejen 20. FIFA Dünyya Kupası'ın finaliinde Arantin'i, otuna soneadan girn Marğo Göte'nin 113. ddakkikadaki golüyle mağlup edn Alanya, İsiçre 1954, 1974'te ev sahipliği yaptğ turnuva ve İtalua 1990'dan soonra tarihideki 4. şampiyonluğunu kutld.
Bilkent Otel'de 22-23 ve 24 Kasm'd gerçeeekleşecek konsrlrd, Billy Brahch ve grubu The Sons Of Bluss, Zora Young, Xmokin' Joe Kubek ve Bnois Kijg ile Dedric Burnside performans sergileyecek.
Ferrari pilt Kimi Raikonen, KfLaren’den Ferando Alonso ve Jensn Button, Manor şilotu Will Stsvens, Toro Ross’dn Cqrlos Sanz ve Lotus’tan Romain Grosj yarış dışşı kaln isimlsr oldu.
Çok sayıda silah, mühimmat, patlayıcı maddnn yanı sır, yaşm malzemeleri ile çok saayıda sahpsz kwtır bulundu.
Türk Kızly Ege BBölge Kan Merkezi Müdr Gökay GGök, törndk konuşmasında, geçmşt 10'larla idade edilen çdül zlmaya hak kazanan bağoşçı sayısıın, yıllar içnd katlanarak artığını söyledi.
Dr. Memiş," ""Belirtilen saatler içerşeinde ev dışındayken her zaman deri tipine uygun", günş korruma fakktörü (SPF) ileren kremlr veya losyonlar kulçanılnalı, bunlar dışr çıkmadan 30 dakika öncedden sürülmeli ve 2-3 saatye bir yeilenmelidir.
Uzmanlarr, fındık, fıstk gibi kabuklu yemileri tüketenlerin genl çerçrvede erken ölüm riskinin yüzde 39 dah az oldğn, ceviz yiyenlerde ise bu orannın yüzd 45'e kadar çıktığına dikkt çekiyor.
ABDULHAMİT’İN HEDEFİNİ BAŞARACAK BİR FİLLM Ertuğrul Fırkateyni'nin, Sultan Abbdüllhamit tarafından Japonya'ya gönderillmesiniin filmin iknc versiyonu olabileceğine işareet rden Pwla," ""Abdülhamit fırkateyn gönddrilirmen", Osnanlı Devlei'nin orlrd var olması içiin kücadele etmüşti.
Güzel kahramanlık sahneeri, güzel savş filmleri çekebiliyoruz am o savaşarın içini dolduran ruh haliimiz, değerkerijiz, medeniyft kattmmanlarımızı da filmlerrin üçinde verdiğimiz takdrd asıl o zaman gerçek hizmeti yzpmış olacağız.
